dataset_params.dim,dataset_params.eps,~neptune_cfg,seed,set,MSE,MAPE
20,0.01,null,777,test,2.3233139238786373,0.15837734861230068
20,0.01,null,777,train,2.2919599096138215,0.1574915489211089
20,0.01,null,777,val,2.389711431836852,0.16118225760078844
20,0.001,null,777,test,2.5936837537799735,0.16319699451498476
20,0.001,null,777,train,2.555540533313866,0.16244965452266344
20,0.001,null,777,val,2.6619397531973816,0.1662525593793889
20,0.0001,null,777,test,2.648147035075039,0.16391831824810602
20,0.0001,null,777,train,2.605106565532878,0.16319118902689972
20,0.0001,null,777,val,2.7114017447231147,0.16642072346004663
20,1e-05,null,777,test,2.6636317573322206,0.1641949202454066
20,1e-05,null,777,train,2.612705043954184,0.1632404525203418
20,1e-05,null,777,val,2.734682985772092,0.16730754894166827
20,1e-06,null,777,test,2.6607706434474894,0.1641423681243329
20,1e-06,null,777,train,2.6157511080028795,0.16321895767423822
20,1e-06,null,777,val,2.7356728827268584,0.1673560171125499
40,0.01,null,777,test,2.4683408821722406,0.13699825072126118
40,0.01,null,777,train,2.3596622240436154,0.13492886672748913
40,0.01,null,777,val,2.4835505104732483,0.1379217117594368
40,0.001,null,777,test,2.7928418766422487,0.14257897389820992
40,0.001,null,777,train,2.6302798213069014,0.13954302658962722
40,0.001,null,777,val,2.777687767664735,0.1431177889582107
40,0.0001,null,777,test,2.8672158188934325,0.14377721450269598
40,0.0001,null,777,train,2.6919905888721103,0.14048032390558973
40,0.0001,null,777,val,2.8492069417017127,0.1441779198969122
40,1e-05,null,777,test,2.852650286883117,0.14335315386304856
40,1e-05,null,777,train,2.7021711249181837,0.14076557545858276
40,1e-05,null,777,val,2.8325809421910835,0.14367620365952752
40,1e-06,null,777,test,,
40,1e-06,null,777,train,,
40,1e-06,null,777,val,,
50,0.01,null,777,test,2.5315391117438075,0.1330981626058291
50,0.01,null,777,train,2.3865795750600625,0.12914156376491842
50,0.01,null,777,val,2.4905659197070795,0.13210652868453845
50,0.001,null,777,test,2.826947188006775,0.1373522234194508
50,0.001,null,777,train,2.664982896138351,0.1336968028371881
50,0.001,null,777,val,2.802891617785528,0.13664697528634295
50,0.0001,null,777,test,2.868298341382318,0.13807743680674106
50,0.0001,null,777,train,2.7144965218045987,0.13432268095326566
50,0.0001,null,777,val,2.872863611419569,0.1374439995644771
50,1e-05,null,777,test,2.9050360660543033,0.13857600703155626
50,1e-05,null,777,train,2.7254550813238847,0.13444016273083328
50,1e-05,null,777,val,2.8883936378121957,0.13767771509626572
50,1e-06,null,777,test,2.898414665352571,0.13840692124834178
50,1e-06,null,777,train,2.728074973699161,0.13453035217108394
50,1e-06,null,777,val,2.8785992647571326,0.13766452023362294
60,0.01,null,777,test,2.484073486577808,0.12685825722361338
60,0.01,null,777,train,2.3793376484757567,0.12403720567277542
60,0.01,null,777,val,2.5275951458133,0.1277517010695805
60,0.001,null,777,test,2.8080640092134,0.1312893281426774
60,0.001,null,777,train,2.652871587518765,0.12842538690362898
60,0.001,null,777,val,2.8501415282833324,0.132466350973213
60,0.0001,null,777,test,2.911195298047616,0.1330385258309385
60,0.0001,null,777,train,2.705166623696058,0.12900497921451592
60,0.0001,null,777,val,2.9279038693282526,0.13330005839607945
60,1e-05,null,777,test,2.9037149410467302,0.1328114756598684
60,1e-05,null,777,train,2.707983545863424,0.12903941902788607
60,1e-05,null,777,val,2.9385494223374304,0.13344625506110117
60,1e-06,null,777,test,2.892493332182771,0.13241495488418087
60,1e-06,null,777,train,2.7031164444836215,0.12884544544412008
60,1e-06,null,777,val,2.921263332071858,0.1329847356622905
