,dataset_params.dim,dataset_params.eps,dataset_params.transform_dim,epochs,model,seed,set,MSE,MAPE
0,5,0.0001,2,100,effn_w5_d320,777,val,0.11444438168782758,0.03885021828497986
1,5,0.0001,2,100,effn_w5_d320,777,test,0.11404346326094712,0.0383711060153567
2,5,0.0001,2,100,effn_w5_d320,777,train,0.03873551844093392,0.03113058221078112
3,5,0.0001,10,100,effn_w5_d320,777,val,0.48184939564292745,0.06234647730576577
4,5,0.0001,10,100,effn_w5_d320,777,test,0.5014512487362075,0.062469333696411694
5,5,0.0001,10,100,effn_w5_d320,777,train,0.21144799233256462,0.04647635235757231
6,5,0.0001,5,100,effn_w5_d320,777,val,0.22710511335307257,0.04666164442941886
7,5,0.0001,5,100,effn_w5_d320,777,test,0.2310647073458907,0.0467541671199004
8,5,0.0001,5,100,effn_w5_d320,777,train,0.08648874637333746,0.03576872160184983
9,10,0.0001,10,100,effn_w5_d320,777,val,0.9358623312874728,0.1041289615257183
10,10,0.0001,10,100,effn_w5_d320,777,test,0.9212721321032125,0.10313052941105189
11,10,0.0001,10,100,effn_w5_d320,777,train,0.32618328990101153,0.06703726598723236
12,5,1e-06,10,100,effn_w5_d320,777,val,0.5476396449932163,0.06646011715468701
13,5,1e-06,10,100,effn_w5_d320,777,test,0.5400277297611392,0.06559979019192712
14,5,1e-06,10,100,effn_w5_d320,777,train,0.26537976899004323,0.051766121952249965
15,5,1e-06,5,100,effn_w5_d320,777,val,0.24735965737567195,0.0475105168548812
16,5,1e-06,5,100,effn_w5_d320,777,test,0.2585459357347255,0.04720386065427209
17,5,1e-06,5,100,effn_w5_d320,777,train,0.09481445161219894,0.03590730524255613
18,10,1e-06,5,100,effn_w5_d320,777,val,0.5081496657323276,0.08097724168046379
19,10,1e-06,5,100,effn_w5_d320,777,test,0.520713357062791,0.08176530543911505
20,10,1e-06,5,100,effn_w5_d320,777,train,0.19679033974702204,0.05834362475660095
21,10,1e-05,10,100,effn_w5_d320,777,val,0.9422640651857559,0.10346324388185044
22,10,1e-05,10,100,effn_w5_d320,777,test,0.9205846900162798,0.10193887830259446
23,10,1e-05,10,100,effn_w5_d320,777,train,0.35672074292878186,0.06961833612159728
24,5,1e-05,10,100,effn_w5_d320,777,val,0.5425848721864969,0.0655923927887138
25,5,1e-05,10,100,effn_w5_d320,777,test,0.5493725771101247,0.06493341291444225
26,5,1e-05,10,100,effn_w5_d320,777,train,0.25317610686768377,0.05012137990938681
27,5,1e-05,5,100,effn_w5_d320,777,val,0.25080483476321036,0.048779647931871804
28,5,1e-05,5,100,effn_w5_d320,777,test,0.2467888463348575,0.04820262911413143
29,5,1e-05,5,100,effn_w5_d320,777,train,0.0977414135971878,0.03767008415351755
30,10,0.0001,2,100,effn_w5_d320,777,val,0.24519627613948677,0.06612831451722613
31,10,0.0001,2,100,effn_w5_d320,777,test,0.2515939183908399,0.0665540398211489
32,10,0.0001,2,100,effn_w5_d320,777,train,0.09447745045882512,0.0514920471888212
33,10,0.0001,5,100,effn_w5_d320,777,val,0.6609997686864229,0.10120561168788765
34,10,0.0001,5,100,effn_w5_d320,777,test,0.6525784789222306,0.09967041649849234
35,10,0.0001,5,100,effn_w5_d320,777,train,0.32649517582115445,0.07556351390651798
36,10,1e-05,5,100,effn_w5_d320,777,val,0.639275475202086,0.09707298208234019
37,10,1e-05,5,100,effn_w5_d320,777,test,0.6364853991032415,0.09598708419647013
38,10,1e-05,5,100,effn_w5_d320,777,train,0.28149716261015767,0.06983362706387199
39,10,1e-06,10,100,effn_w5_d320,777,val,0.9524773322251767,0.10440639785274164
40,10,1e-06,10,100,effn_w5_d320,777,test,0.970949113609925,0.1046836186654033
41,10,1e-06,10,100,effn_w5_d320,777,train,0.3375955309544772,0.0681211184026265
42,5,1e-05,2,100,effn_w5_d320,777,val,0.12502104925000504,0.03925476545304255
43,5,1e-05,2,100,effn_w5_d320,777,test,0.12461086844279305,0.03832930038505641
44,5,1e-05,2,100,effn_w5_d320,777,train,0.04201071054800195,0.031296807961595056
45,10,1e-06,2,100,effn_w5_d320,777,val,0.2482809170522848,0.06557348153991795
46,10,1e-06,2,100,effn_w5_d320,777,test,0.25567597608987697,0.06556412109143461
47,10,1e-06,2,100,effn_w5_d320,777,train,0.09409271624227551,0.05179454783380766
48,10,1e-05,2,100,effn_w5_d320,777,val,0.25110883308895193,0.06451015359611678
49,10,1e-05,2,100,effn_w5_d320,777,test,0.2528780467676481,0.0647713981813423
50,10,1e-05,2,100,effn_w5_d320,777,train,0.09222689444949775,0.05000683125013762
51,5,1e-06,2,100,effn_w5_d320,777,val,0.12769628369956712,0.04010040655045833
52,5,1e-06,2,100,effn_w5_d320,777,test,0.12335332634015149,0.03902852675763078
53,5,1e-06,2,100,effn_w5_d320,777,train,0.043079714341474756,0.03196977343313022
