,dataset_params.dim,dataset_params.eps,dataset_params.seed,dataset_params.transform_dim,epochs,model,seed,set,MSE,MAPE
0,5,0.001,777,2,100,effn,777,train,0.030573207446019122,0.029051532805570247
1,5,0.001,777,2,100,effn,777,train,0.030573207446019122,0.029051532805570247
2,5,0.001,777,2,100,effn,777,train,0.030573207446019122,0.029051532805570247
3,2,0.0001,888,5,100,effn,777,train,,
4,2,0.0001,888,5,100,effn,777,train,,
5,2,0.0001,888,5,100,effn,777,train,,
6,2,0.0001,888,10,100,effn,777,train,,
7,2,0.0001,888,10,100,effn,777,train,,
8,2,0.0001,888,10,100,effn,777,train,,
9,10,0.0001,777,2,100,effn,777,train,0.09447745045882512,0.0514920471888212
10,10,0.0001,777,2,100,effn,777,train,0.09447745045882512,0.0514920471888212
11,10,0.0001,777,2,100,effn,777,train,0.09447745045882512,0.0514920471888212
12,10,0.01,777,2,100,effn,777,train,0.10995088262452492,0.060791378603292714
13,10,0.01,777,2,100,effn,777,train,0.10995088262452492,0.060791378603292714
14,10,0.01,777,2,100,effn,777,train,0.10995088262452492,0.060791378603292714
15,5,0.01,777,2,100,effn,777,train,0.02177841624989307,0.027394996417822788
16,5,0.01,777,2,100,effn,777,train,0.02177841624989307,0.027394996417822788
17,5,0.01,777,2,100,effn,777,train,0.02177841624989307,0.027394996417822788
18,5,0.001,777,5,100,effn,777,train,0.07536797125542526,0.033015973864221705
19,5,0.001,777,5,100,effn,777,train,0.07536797125542526,0.033015973864221705
20,5,0.001,777,5,100,effn,777,train,0.07536797125542526,0.033015973864221705
21,5,0.001,777,10,100,effn,777,train,0.21891538362850121,0.04740943961814662
22,5,0.001,777,10,100,effn,777,train,0.21891538362850121,0.04740943961814662
23,5,0.001,777,10,100,effn,777,train,0.21891538362850121,0.04740943961814662
24,2,0.001,777,10,100,effn,777,train,0.3238279564389872,0.05403319816883299
25,2,0.001,777,10,100,effn,777,train,0.3238279564389872,0.05403319816883299
26,2,0.001,777,10,100,effn,777,train,0.3238279564389872,0.05403319816883299
27,10,0.01,777,5,100,effn,777,train,0.20913534785878327,0.06531386353950697
28,10,0.01,777,5,100,effn,777,train,0.20913534785878327,0.06531386353950697
29,10,0.01,777,5,100,effn,777,train,0.20913534785878327,0.06531386353950697
30,2,0.01,777,5,100,effn,777,train,0.018633857074182008,0.018164814007187734
31,2,0.01,777,5,100,effn,777,train,0.018633857074182008,0.018164814007187734
32,2,0.01,777,5,100,effn,777,train,0.018633857074182008,0.018164814007187734
33,10,0.0001,777,10,100,effn,777,train,,
34,10,0.0001,777,10,100,effn,777,train,,
35,10,0.0001,777,10,100,effn,777,train,,
36,2,0.001,888,2,100,effn,777,train,0.04627565092074546,0.029225160820449826
37,2,0.001,888,2,100,effn,777,train,0.04627565092074546,0.029225160820449826
38,2,0.001,888,2,100,effn,777,train,0.04627565092074546,0.029225160820449826
39,5,0.01,888,2,100,effn,777,train,0.02642465309649399,0.029156656330810177
40,5,0.01,888,2,100,effn,777,train,0.02642465309649399,0.029156656330810177
41,5,0.01,888,2,100,effn,777,train,0.02642465309649399,0.029156656330810177
42,2,0.001,888,10,100,effn,777,train,0.17026165983484184,0.03583941298683333
43,2,0.001,888,10,100,effn,777,train,0.17026165983484184,0.03583941298683333
44,2,0.001,888,10,100,effn,777,train,0.17026165983484184,0.03583941298683333
45,2,0.01,888,10,100,effn,777,train,0.031274961564296794,0.01885337605809713
46,2,0.01,888,10,100,effn,777,train,0.031274961564296794,0.01885337605809713
47,2,0.01,888,10,100,effn,777,train,0.031274961564296794,0.01885337605809713
48,2,0.01,777,10,100,effn,777,train,0.1509277855523793,0.048371251665433546
49,2,0.01,777,10,100,effn,777,train,0.1509277855523793,0.048371251665433546
50,2,0.01,777,10,100,effn,777,train,0.1509277855523793,0.048371251665433546
51,2,0.001,777,5,100,effn,777,train,0.1503377180540213,0.05010106771816174
52,2,0.001,777,5,100,effn,777,train,0.1503377180540213,0.05010106771816174
53,2,0.001,777,5,100,effn,777,train,0.1503377180540213,0.05010106771816174
54,5,0.0001,777,5,100,effn,777,train,0.08648874637333746,0.03576872160184983
55,5,0.0001,777,5,100,effn,777,train,0.08648874637333746,0.03576872160184983
56,5,0.0001,777,5,100,effn,777,train,0.08648874637333746,0.03576872160184983
57,10,0.0001,777,5,100,effn,777,train,0.32649517582115445,0.07556351390651798
58,10,0.0001,777,5,100,effn,777,train,0.32649517582115445,0.07556351390651798
59,10,0.0001,777,5,100,effn,777,train,0.32649517582115445,0.07556351390651798
60,5,0.0001,777,2,100,effn,777,train,0.03873551844093392,0.03113058221078112
61,5,0.0001,777,2,100,effn,777,train,0.03873551844093392,0.03113058221078112
62,5,0.0001,777,2,100,effn,777,train,0.03873551844093392,0.03113058221078112
63,10,0.001,777,2,100,effn,777,train,0.09961226240979545,0.05576892862328244
64,10,0.001,777,2,100,effn,777,train,0.09961226240979545,0.05576892862328244
65,10,0.001,777,2,100,effn,777,train,0.09961226240979545,0.05576892862328244
66,2,0.0001,777,2,100,effn,777,train,0.04844752126993638,0.02736104215037481
67,2,0.0001,777,2,100,effn,777,train,0.04844752126993638,0.02736104215037481
68,2,0.0001,777,2,100,effn,777,train,0.04844752126993638,0.02736104215037481
69,2,0.0001,888,2,100,effn,777,train,0.07592479431693164,0.033851330290878
70,2,0.0001,888,2,100,effn,777,train,0.07592479431693164,0.033851330290878
71,2,0.0001,888,2,100,effn,777,train,0.07592479431693164,0.033851330290878
72,2,0.0001,777,10,100,effn,777,train,,
73,2,0.0001,777,10,100,effn,777,train,,
74,2,0.0001,777,10,100,effn,777,train,,
75,2,0.001,777,2,100,effn,777,train,0.03639165307745994,0.026942039698232462
76,2,0.001,777,2,100,effn,777,train,0.03639165307745994,0.026942039698232462
77,2,0.001,777,2,100,effn,777,train,0.03639165307745994,0.026942039698232462
78,10,0.01,777,10,100,effn,777,train,0.2667595841340054,0.06331079451690588
79,10,0.01,777,10,100,effn,777,train,0.2667595841340054,0.06331079451690588
80,10,0.01,777,10,100,effn,777,train,0.2667595841340054,0.06331079451690588
81,10,0.001,777,5,100,effn,777,train,0.2554322515423131,0.06802328604196
82,10,0.001,777,5,100,effn,777,train,0.2554322515423131,0.06802328604196
83,10,0.001,777,5,100,effn,777,train,0.2554322515423131,0.06802328604196
84,2,0.01,888,2,100,effn,777,train,0.009640418047733468,0.018055416641435063
85,2,0.01,888,2,100,effn,777,train,0.009640418047733468,0.018055416641435063
86,2,0.01,888,2,100,effn,777,train,0.009640418047733468,0.018055416641435063
87,5,0.0001,777,10,100,effn,777,train,,
88,5,0.0001,777,10,100,effn,777,train,,
89,5,0.0001,777,10,100,effn,777,train,,
90,2,0.001,888,5,100,effn,777,train,0.07428769289410952,0.03659511996094608
91,2,0.001,888,5,100,effn,777,train,0.07428769289410952,0.03659511996094608
92,2,0.001,888,5,100,effn,777,train,0.07428769289410952,0.03659511996094608
93,10,0.001,777,10,100,effn,777,train,0.3103666307986762,0.06565747953316191
94,10,0.001,777,10,100,effn,777,train,0.3103666307986762,0.06565747953316191
95,10,0.001,777,10,100,effn,777,train,0.3103666307986762,0.06565747953316191
96,5,0.01,777,5,100,effn,777,train,0.048136118326339475,0.02883869584433849
97,5,0.01,777,5,100,effn,777,train,0.048136118326339475,0.02883869584433849
98,5,0.01,777,5,100,effn,777,train,0.048136118326339475,0.02883869584433849
99,2,0.01,888,5,100,effn,777,train,0.03393324344679407,0.023392609990560788
100,2,0.01,888,5,100,effn,777,train,0.03393324344679407,0.023392609990560788
101,2,0.01,888,5,100,effn,777,train,0.03393324344679407,0.023392609990560788
102,2,0.01,777,2,100,effn,777,train,0.009435363232211667,0.018308479746789882
103,2,0.01,777,2,100,effn,777,train,0.009435363232211667,0.018308479746789882
104,2,0.01,777,2,100,effn,777,train,0.009435363232211667,0.018308479746789882
105,2,0.0001,777,5,100,effn,777,train,0.16046740767118742,0.048694871757064315
106,2,0.0001,777,5,100,effn,777,train,0.16046740767118742,0.048694871757064315
107,2,0.0001,777,5,100,effn,777,train,0.16046740767118742,0.048694871757064315
108,5,0.01,777,10,100,effn,777,train,0.14835601425149683,0.04168688432172937
109,5,0.01,777,10,100,effn,777,train,0.14835601425149683,0.04168688432172937
110,5,0.01,777,10,100,effn,777,train,0.14835601425149683,0.04168688432172937
